Team,Resource Type,Title,Description,Severity Label,Remediation Text,Remediation URL,Resource ID,AWS Account ID,Compliance Status,Record State,Workflow Status,Created At,Updated At
TMSIS,AwsRedshiftCluster,Redshift.2 Connections to Amazon Redshift clusters should be encrypted in transit,This control checks whether connections to Amazon Redshift clusters are required to use encryption in transit. The check fails if the Amazon Redshift cluster parameter require_SSL is not set to 1.,MEDIUM,"For directions on how to fix this issue, consult the AWS Security Hub Foundational Security Best Practices documentation.",https://docs.aws.amazon.com/console/securityhub/Redshift.2/remediation,arn:aws:redshift:us-east-1:717546955209:cluster:jenkins-temp-2623-15484-8443-19723,717546955209,FAILED,ACTIVE,NEW,2022-07-01T13:41:53.360Z,2022-07-01T13:41:53.360Z
TMSIS,AwsRedshiftCluster,Redshift.2 Connections to Amazon Redshift clusters should be encrypted in transit,This control checks whether connections to Amazon Redshift clusters are required to use encryption in transit. The check fails if the Amazon Redshift cluster parameter require_SSL is not set to 1.,MEDIUM,"For directions on how to fix this issue, consult the AWS Security Hub Foundational Security Best Practices documentation.",https://docs.aws.amazon.com/console/securityhub/Redshift.2/remediation,arn:aws:redshift:us-east-1:717546955209:cluster:jenkins-temp-26106-7942-26274-17576,717546955209,FAILED,ACTIVE,NEW,2022-07-01T13:41:53.360Z,2022-07-01T13:41:53.360Z
TMSIS,AwsRedshiftCluster,Redshift.2 Connections to Amazon Redshift clusters should be encrypted in transit,This control checks whether connections to Amazon Redshift clusters are required to use encryption in transit. The check fails if the Amazon Redshift cluster parameter require_SSL is not set to 1.,MEDIUM,"For directions on how to fix this issue, consult the AWS Security Hub Foundational Security Best Practices documentation.",https://docs.aws.amazon.com/console/securityhub/Redshift.2/remediation,arn:aws:redshift:us-east-1:717546955209:cluster:jenkins-temp-27099-16590-21802-27611,717546955209,FAILED,ACTIVE,NEW,2022-07-01T13:41:53.360Z,2022-07-01T13:41:53.360Z
TMSIS,AwsRedshiftCluster,Redshift.2 Connections to Amazon Redshift clusters should be encrypted in transit,This control checks whether connections to Amazon Redshift clusters are required to use encryption in transit. The check fails if the Amazon Redshift cluster parameter require_SSL is not set to 1.,MEDIUM,"For directions on how to fix this issue, consult the AWS Security Hub Foundational Security Best Practices documentation.",https://docs.aws.amazon.com/console/securityhub/Redshift.2/remediation,arn:aws:redshift:us-east-1:717546955209:cluster:jenkins-temp-612-6670-14139-5591,717546955209,FAILED,ACTIVE,NEW,2022-07-01T13:41:53.360Z,2022-07-01T13:41:53.360Z
TMSIS,AwsRedshiftCluster,Redshift.2 Connections to Amazon Redshift clusters should be encrypted in transit,This control checks whether connections to Amazon Redshift clusters are required to use encryption in transit. The check fails if the Amazon Redshift cluster parameter require_SSL is not set to 1.,MEDIUM,"For directions on how to fix this issue, consult the AWS Security Hub Foundational Security Best Practices documentation.",https://docs.aws.amazon.com/console/securityhub/Redshift.2/remediation,arn:aws:redshift:us-east-1:717546955209:cluster:jenkins-temp-10145-20566-26575-24677,717546955209,FAILED,ACTIVE,NEW,2022-07-01T13:41:53.360Z,2022-07-01T13:41:53.360Z
TMSIS,AwsEc2Instance,SSM.1 EC2 instances should be managed by AWS Systems Manager,This AWS control checks whether the Amazon EC2 instances in your account are managed by AWS Systems Manager.,MEDIUM,"For directions on how to fix this issue, consult the AWS Security Hub Foundational Security Best Practices documentation.",https://docs.aws.amazon.com/console/securityhub/SSM.1/remediation,arn:aws:ec2:us-east-1:717546955209:instance/i-092cfdc571a30b093,717546955209,FAILED,ACTIVE,NEW,2022-07-01T13:40:09.097Z,2022-07-01T13:40:09.097Z
TMSIS,AwsEc2Instance,SSM.1 EC2 instances should be managed by AWS Systems Manager,This AWS control checks whether the Amazon EC2 instances in your account are managed by AWS Systems Manager.,MEDIUM,"For directions on how to fix this issue, consult the AWS Security Hub Foundational Security Best Practices documentation.",https://docs.aws.amazon.com/console/securityhub/SSM.1/remediation,arn:aws:ec2:us-east-1:717546955209:instance/i-0beeaf954ef857579,717546955209,FAILED,ACTIVE,NEW,2022-07-01T13:40:09.097Z,2022-07-01T13:40:09.097Z
TMSIS,AwsEc2Instance,SSM.1 EC2 instances should be managed by AWS Systems Manager,This AWS control checks whether the Amazon EC2 instances in your account are managed by AWS Systems Manager.,MEDIUM,"For directions on how to fix this issue, consult the AWS Security Hub Foundational Security Best Practices documentation.",https://docs.aws.amazon.com/console/securityhub/SSM.1/remediation,arn:aws:ec2:us-east-1:717546955209:instance/i-0c66243d7561366bc,717546955209,FAILED,ACTIVE,NEW,2022-07-01T13:40:09.097Z,2022-07-01T13:40:09.097Z
TMSIS,AwsEc2Instance,SSM.1 EC2 instances should be managed by AWS Systems Manager,This AWS control checks whether the Amazon EC2 instances in your account are managed by AWS Systems Manager.,MEDIUM,"For directions on how to fix this issue, consult the AWS Security Hub Foundational Security Best Practices documentation.",https://docs.aws.amazon.com/console/securityhub/SSM.1/remediation,arn:aws:ec2:us-east-1:717546955209:instance/i-0728aa07bfa809192,717546955209,FAILED,ACTIVE,NEW,2022-07-01T13:40:09.096Z,2022-07-01T13:40:09.096Z
TMSIS,AwsEc2Volume,EC2.3 Attached EBS volumes should be encrypted at-rest,This AWS control checks whether the EBS volumes that are in an attached state are encrypted.,MEDIUM,"For directions on how to fix this issue, consult the AWS Security Hub Foundational Security Best Practices documentation.",https://docs.aws.amazon.com/console/securityhub/EC2.3/remediation,arn:aws:ec2:us-east-1:717546955209:volume/vol-0de5585d6220231cb,717546955209,FAILED,ACTIVE,NEW,2022-07-01T13:39:51.727Z,2022-07-01T13:39:51.727Z
TMSIS,AwsEc2Volume,EC2.3 Attached EBS volumes should be encrypted at-rest,This AWS control checks whether the EBS volumes that are in an attached state are encrypted.,MEDIUM,"For directions on how to fix this issue, consult the AWS Security Hub Foundational Security Best Practices documentation.",https://docs.aws.amazon.com/console/securityhub/EC2.3/remediation,arn:aws:ec2:us-east-1:717546955209:volume/vol-0fabfc00a3a6f6ca0,717546955209,FAILED,ACTIVE,NEW,2022-07-01T13:39:51.727Z,2022-07-01T13:39:51.727Z
TMSIS,AwsEc2Volume,EC2.3 Attached EBS volumes should be encrypted at-rest,This AWS control checks whether the EBS volumes that are in an attached state are encrypted.,MEDIUM,"For directions on how to fix this issue, consult the AWS Security Hub Foundational Security Best Practices documentation.",https://docs.aws.amazon.com/console/securityhub/EC2.3/remediation,arn:aws:ec2:us-east-1:717546955209:volume/vol-034ea35599db7ca83,717546955209,FAILED,ACTIVE,NEW,2022-07-01T13:39:51.727Z,2022-07-01T13:39:51.727Z
TMSIS,AwsEc2Volume,EC2.3 Attached EBS volumes should be encrypted at-rest,This AWS control checks whether the EBS volumes that are in an attached state are encrypted.,MEDIUM,"For directions on how to fix this issue, consult the AWS Security Hub Foundational Security Best Practices documentation.",https://docs.aws.amazon.com/console/securityhub/EC2.3/remediation,arn:aws:ec2:us-east-1:717546955209:volume/vol-0f3e8e1e517579198,717546955209,FAILED,ACTIVE,NEW,2022-07-01T13:39:51.727Z,2022-07-01T13:39:51.727Z
TMSIS,AwsEc2Volume,EC2.3 Attached EBS volumes should be encrypted at-rest,This AWS control checks whether the EBS volumes that are in an attached state are encrypted.,MEDIUM,"For directions on how to fix this issue, consult the AWS Security Hub Foundational Security Best Practices documentation.",https://docs.aws.amazon.com/console/securityhub/EC2.3/remediation,arn:aws:ec2:us-east-1:717546955209:volume/vol-09f6ff84e063cb340,717546955209,FAILED,ACTIVE,NEW,2022-07-01T13:39:51.727Z,2022-07-01T13:39:51.727Z
TMSIS,AwsEc2Volume,EC2.3 Attached EBS volumes should be encrypted at-rest,This AWS control checks whether the EBS volumes that are in an attached state are encrypted.,MEDIUM,"For directions on how to fix this issue, consult the AWS Security Hub Foundational Security Best Practices documentation.",https://docs.aws.amazon.com/console/securityhub/EC2.3/remediation,arn:aws:ec2:us-east-1:717546955209:volume/vol-00a5271c8e82e5ab8,717546955209,FAILED,ACTIVE,NEW,2022-07-01T13:39:51.727Z,2022-07-01T13:39:51.727Z
TMSIS,AwsEc2Volume,EC2.3 Attached EBS volumes should be encrypted at-rest,This AWS control checks whether the EBS volumes that are in an attached state are encrypted.,MEDIUM,"For directions on how to fix this issue, consult the AWS Security Hub Foundational Security Best Practices documentation.",https://docs.aws.amazon.com/console/securityhub/EC2.3/remediation,arn:aws:ec2:us-east-1:717546955209:volume/vol-073fab2c24aaa5507,717546955209,FAILED,ACTIVE,NEW,2022-07-01T13:39:51.727Z,2022-07-01T13:39:51.727Z
TMSIS,AwsEc2Volume,EC2.3 Attached EBS volumes should be encrypted at-rest,This AWS control checks whether the EBS volumes that are in an attached state are encrypted.,MEDIUM,"For directions on how to fix this issue, consult the AWS Security Hub Foundational Security Best Practices documentation.",https://docs.aws.amazon.com/console/securityhub/EC2.3/remediation,arn:aws:ec2:us-east-1:717546955209:volume/vol-01c99ad2ed2c783ed,717546955209,FAILED,ACTIVE,NEW,2022-07-01T13:39:51.727Z,2022-07-01T13:39:51.727Z
TMSIS,AwsEc2Volume,EC2.3 Attached EBS volumes should be encrypted at-rest,This AWS control checks whether the EBS volumes that are in an attached state are encrypted.,MEDIUM,"For directions on how to fix this issue, consult the AWS Security Hub Foundational Security Best Practices documentation.",https://docs.aws.amazon.com/console/securityhub/EC2.3/remediation,arn:aws:ec2:us-east-1:717546955209:volume/vol-08691db8147c6b282,717546955209,FAILED,ACTIVE,NEW,2022-07-01T13:39:51.727Z,2022-07-01T13:39:51.727Z
TMSIS,AwsEc2Volume,EC2.3 Attached EBS volumes should be encrypted at-rest,This AWS control checks whether the EBS volumes that are in an attached state are encrypted.,MEDIUM,"For directions on how to fix this issue, consult the AWS Security Hub Foundational Security Best Practices documentation.",https://docs.aws.amazon.com/console/securityhub/EC2.3/remediation,arn:aws:ec2:us-east-1:717546955209:volume/vol-0f67ecbdc657ec811,717546955209,FAILED,ACTIVE,NEW,2022-07-01T13:39:51.727Z,2022-07-01T13:39:51.727Z
TMSIS,AwsEc2Volume,EC2.3 Attached EBS volumes should be encrypted at-rest,This AWS control checks whether the EBS volumes that are in an attached state are encrypted.,MEDIUM,"For directions on how to fix this issue, consult the AWS Security Hub Foundational Security Best Practices documentation.",https://docs.aws.amazon.com/console/securityhub/EC2.3/remediation,arn:aws:ec2:us-east-1:717546955209:volume/vol-0123699b510af1e95,717546955209,FAILED,ACTIVE,NEW,2022-07-01T13:39:51.727Z,2022-07-01T13:39:51.727Z
